class,cap-diameter,cap-shape,cap-surface,stem-width,has-ring
e,Tiny,Sunken,missing,26.37,f
p,Small,Convex,Sticky,2.69,f
e,Tiny,Bell,Scaly,3.02,f
e,Tiny,Flat,missing,4.17,f
p,Tiny,Convex,missing,2.22,f
p,Small,Convex,Sticky,3.02,f
p,Small,Conical,Sticky,11.23,f
e,Tiny,Convex,missing,13.0,t
p,Moderate,Convex,Hairy,7.73,f
e,Tiny,Flat,Silky,13.93,f
p,Small,Flat,missing,11.53,f
e,Tiny,Convex,Textured,7.56,f
p,Small,Convex,Textured,7.51,f
e,Tiny,Convex,Hairy,5.46,t
p,Moderate,Convex,Silky,7.03,f
p,Moderate,Punctate,Grooved,13.49,t
p,Small,Sunken,Textured,24.73,f
e,Tiny,Flat,Grooved,0.94,f
p,Small,Bell,missing,2.43,f
e,Tiny,Flat,Textured,7.51,f
p,Small,Sunken,Dry,2.55,f
p,Tiny,Convex,Scaly,3.83,t
e,Tiny,Convex,missing,3.29,f
p,Moderate,Convex,missing,2.35,f
p,Moderate,Sunken,missing,11.66,t
e,Tiny,Bell,Grooved,1.34,f
p,Moderate,Sunken,Silky,42.07,f
p,Small,Flat,Dry,2.86,f
p,Moderate,Convex,Silky,13.82,f
p,Moderate,Convex,Silky,17.43,f
e,Tiny,Convex,Dry,12.08,f
p,Small,Others,Textured,0.0,f
e,Tiny,Convex,Silky,9.55,f
e,Tiny,Bell,Grooved,2.72,f
p,Small,Flat,Textured,17.21,f
e,Tiny,Convex,missing,21.75,f
e,Tiny,Flat,Silky,11.77,t
e,Tiny,Convex,Hairy,12.16,f
p,Tiny,Convex,Iridescent,7.37,t
e,Tiny,Flat,missing,14.23,f
p,Small,Sunken,missing,12.56,t
p,Small,Sunken,missing,6.51,f
p,Tiny,Conical,Sticky,12.57,f
p,Small,Others,Smooth,13.63,f
e,Tiny,Sunken,missing,7.52,f
p,Tiny,Convex,Grooved,1.21,f
p,Small,Bell,Wrinkled,6.2,f
e,Tiny,Sunken,missing,20.15,f
e,Tiny,Sunken,Textured,16.43,f
e,Tiny,Flat,missing,15.41,t
p,Small,Bell,Scaly,4.44,f
p,Tiny,Convex,missing,2.25,f
p,Tiny,Convex,Textured,6.77,t
e,Tiny,Convex,missing,9.73,t
e,Tiny,Convex,Hairy,22.09,f
p,Small,Convex,Grooved,0.79,f
p,Moderate,Convex,Iridescent,6.79,f
e,Tiny,Sunken,missing,7.54,f
e,Tiny,Convex,Hairy,6.17,t
e,Tiny,Convex,Silky,18.05,t
p,Small,Convex,Iridescent,6.5,f
e,Tiny,Conical,missing,20.23,f
p,Small,Convex,missing,13.93,t
e,Tiny,Convex,Dry,13.57,f
e,Tiny,Convex,Silky,16.39,f
p,Tiny,Conical,missing,3.82,f
p,Small,Flat,Wrinkled,8.12,f
p,Moderate,Others,Textured,0.0,f
p,Moderate,Sunken,Dry,6.18,f
p,Small,Convex,Iridescent,7.58,t
p,Moderate,Convex,Smooth,16.22,f
e,Tiny,Flat,Dry,12.79,f
e,Tiny,Flat,Silky,8.8,f
p,Tiny,Sunken,Silky,5.79,f
p,Tiny,Convex,Dry,8.56,f
e,Tiny,Convex,Silky,9.65,f
p,Tiny,Convex,Smooth,14.43,f
p,Small,Sunken,Dry,2.42,f
e,Tiny,Convex,Iridescent,12.37,t
p,Tiny,Bell,Textured,5.06,f
p,Tiny,Flat,Dry,8.85,f
p,Small,Convex,Hairy,25.44,f
e,Tiny,Flat,Silky,9.22,f
e,Tiny,Convex,Textured,13.38,f
p,Moderate,Convex,missing,1.02,f
e,Tiny,Flat,Silky,13.95,t
p,Moderate,Others,missing,16.3,f
e,Tiny,Flat,Scaly,12.72,t
e,Tiny,Convex,missing,9.44,t
p,Small,Convex,Silky,31.54,f
e,Tiny,Flat,missing,14.71,f
p,Small,Bell,Scaly,17.57,f
p,Moderate,Flat,Silky,5.28,f
e,Tiny,Flat,Silky,15.23,t
p,Small,Flat,Dry,9.82,f
p,Small,Bell,Scaly,17.26,f
e,Tiny,Convex,Dry,10.01,f
p,Small,Convex,Textured,5.51,t
e,Tiny,Convex,Textured,14.04,f
e,Tiny,Punctate,Iridescent,17.05,t
p,Small,Sunken,Silky,5.55,f
e,Tiny,Flat,Scaly,25.5,t
p,Moderate,Sunken,Dry,2.48,f
e,Tiny,Bell,Grooved,2.6,f
e,Tiny,Flat,Silky,17.54,t
p,Moderate,Convex,Smooth,19.42,t
e,Tiny,Flat,Silky,14.09,t
p,Tiny,Flat,Sticky,4.88,t
e,Tiny,Convex,Scaly,24.27,t
p,Tiny,Bell,Wrinkled,5.18,f
e,Tiny,Punctate,Grooved,1.33,f
p,Moderate,Flat,Wrinkled,9.45,f
p,Small,Flat,missing,10.26,f
p,Moderate,Bell,Scaly,3.52,t
p,Small,Convex,missing,10.95,f
p,Moderate,Flat,missing,12.83,f
p,Tiny,Flat,Dry,3.26,f
p,Small,Flat,missing,3.68,f
e,Tiny,Others,Scaly,30.59,f
e,Tiny,Punctate,Dry,34.71,f
p,Moderate,Flat,Sticky,6.28,t
p,Tiny,Sunken,Textured,12.57,f
p,Small,Flat,Silky,5.3,f
e,Tiny,Sunken,Leathery,7.78,f
e,Tiny,Convex,Smooth,22.14,f
p,Moderate,Bell,Textured,6.15,t
e,Tiny,Convex,Silky,11.25,f
p,Moderate,Flat,missing,6.57,f
e,Tiny,Punctate,Textured,61.75,f
e,Tiny,Bell,Grooved,3.17,f
p,Moderate,Others,missing,28.57,f
p,Tiny,Convex,missing,6.16,f
e,Tiny,Convex,Textured,5.88,f
e,Tiny,Punctate,Textured,59.98,f
p,Tiny,Convex,Hairy,8.44,f
p,Moderate,Convex,Iridescent,21.18,t
e,Tiny,Flat,missing,17.61,t
p,Small,Flat,Textured,14.26,f
e,Tiny,Convex,Dry,12.08,f
p,Moderate,Convex,Grooved,0.96,f
p,Small,Flat,missing,11.54,f
e,Tiny,Convex,Scaly,18.11,t
e,Tiny,Convex,Textured,4.92,f
e,Tiny,Convex,Hairy,6.54,f
p,Tiny,Convex,Smooth,15.25,f
e,Tiny,Convex,missing,15.95,f
e,Tiny,Flat,Scaly,3.28,f
p,Small,Convex,Textured,31.65,f
p,Moderate,Conical,Hairy,2.93,f
e,Tiny,Punctate,missing,17.3,f
e,Tiny,Flat,Scaly,7.1,f
e,Tiny,Flat,Scaly,19.55,t
p,Tiny,Flat,missing,4.3,f
p,Small,Flat,Hairy,2.74,f
p,Tiny,Bell,Textured,12.73,t
e,Tiny,Convex,missing,9.56,f
e,Tiny,Flat,Hairy,11.83,f
e,Tiny,Convex,Silky,10.48,f
e,Tiny,Convex,missing,8.93,t
p,Tiny,Punctate,Scaly,15.96,f
e,Tiny,Punctate,Grooved,1.32,f
e,Tiny,Flat,Grooved,1.06,f
p,Small,Convex,Textured,6.49,t
e,Tiny,Convex,missing,5.34,f
e,Tiny,Flat,Wrinkled,2.94,f
e,Tiny,Punctate,Grooved,1.21,f
e,Tiny,Convex,Hairy,17.76,t
p,Moderate,Convex,missing,6.48,f
p,Tiny,Bell,missing,2.1,f
e,Tiny,Sunken,Wrinkled,15.12,f
p,Moderate,Convex,Hairy,15.65,t
e,Tiny,Convex,Dry,37.3,f
p,Tiny,Flat,Textured,4.4,f
e,Tiny,Flat,Iridescent,13.28,t
e,Tiny,Flat,missing,16.02,f
p,Moderate,Others,Smooth,16.66,f
p,Tiny,Convex,Silky,8.21,t
p,Moderate,Flat,Sticky,40.32,f
p,Small,Conical,Hairy,3.17,f
e,Tiny,Flat,Silky,10.81,f
e,Tiny,Sunken,Silky,24.02,f
e,Tiny,Flat,Hairy,6.47,f
e,Tiny,Flat,Scaly,20.15,t
e,Tiny,Convex,Textured,22.41,f
p,Moderate,Convex,Scaly,3.38,t
e,Tiny,Punctate,Wrinkled,79.5,f
p,Tiny,Convex,Smooth,14.82,f
p,Small,Others,missing,24.92,f
e,Tiny,Flat,Silky,22.77,f
p,Tiny,Others,Textured,0.0,f
e,Tiny,Flat,Dry,6.01,f
p,Small,Flat,Wrinkled,6.61,f
p,Moderate,Bell,missing,2.51,f
e,Tiny,Sunken,missing,22.27,f
p,Small,Sunken,missing,12.5,t
p,Moderate,Convex,Textured,17.1,f
p,Small,Sunken,Hairy,11.68,f
p,Small,Convex,Hairy,16.69,f
e,Tiny,Sunken,missing,6.54,f
e,Tiny,Convex,Silky,10.07,f
p,Moderate,Bell,Textured,2.36,t
e,Tiny,Convex,missing,13.72,t
e,Tiny,Punctate,missing,15.51,f
p,Moderate,Bell,Textured,2.52,t
e,Tiny,Convex,Smooth,17.37,t
e,Tiny,Convex,missing,13.12,f
e,Tiny,Convex,Hairy,6.9,t
p,Small,Others,missing,25.01,f
e,Tiny,Punctate,Silky,11.57,t
e,Tiny,Flat,Dry,6.2,f
e,Tiny,Flat,Textured,6.36,f
p,Tiny,Bell,Silky,13.58,t
p,Moderate,Sunken,Dry,2.63,f
p,Moderate,Convex,Wrinkled,10.51,f
p,Tiny,Bell,Textured,12.95,t
p,Tiny,Others,missing,25.69,f
p,Small,Sunken,Wrinkled,4.31,f
e,Tiny,Others,Scaly,34.77,f
p,Tiny,Others,Silky,0.0,t
p,Small,Convex,Smooth,15.88,f
e,Tiny,Convex,Grooved,1.01,f
p,Tiny,Flat,Wrinkled,6.58,f
e,Tiny,Sunken,Leathery,49.17,f
p,Small,Convex,Grooved,2.41,f
p,Small,Convex,missing,19.85,f
p,Moderate,Convex,Smooth,10.15,t
e,Tiny,Bell,Scaly,2.89,f
p,Tiny,Convex,missing,11.55,f
p,Small,Convex,Scaly,3.57,t
e,Tiny,Flat,Silky,29.98,f
e,Tiny,Flat,Grooved,1.01,f
e,Tiny,Convex,missing,12.11,t
p,Tiny,Sunken,Sticky,28.84,f
e,Tiny,Convex,Textured,5.42,t
p,Moderate,Convex,Textured,7.25,f
p,Small,Flat,Silky,5.91,f
e,Tiny,Flat,Grooved,2.11,f
p,Small,Flat,Textured,4.27,f
e,Tiny,Convex,Smooth,17.79,f
p,Small,Sunken,Dry,43.96,f
e,Tiny,Convex,Textured,12.45,t
e,Tiny,Convex,Hairy,15.23,t
p,Moderate,Sunken,Textured,12.97,f
p,Small,Convex,Textured,31.78,f
p,Tiny,Convex,Iridescent,7.35,t
e,Tiny,Others,Leathery,54.42,f
p,Moderate,Convex,Smooth,29.44,f
p,Moderate,Convex,Smooth,10.33,t
e,Tiny,Convex,Dry,9.67,f
e,Tiny,Flat,Silky,9.98,f
p,Moderate,Convex,Iridescent,2.6,f
p,Moderate,Convex,Scaly,13.63,t
p,Moderate,Sunken,Dry,6.96,f
p,Small,Convex,Dry,24.93,t
p,Tiny,Flat,Leathery,6.33,f
p,Moderate,Convex,Grooved,1.0,f
e,Tiny,Convex,Scaly,25.39,t
e,Tiny,Convex,missing,4.08,f
e,Tiny,Sunken,missing,7.73,f
e,Tiny,Flat,Scaly,6.5,f
p,Tiny,Sunken,Dry,6.27,f
e,Tiny,Sunken,missing,23.03,f
p,Small,Bell,Textured,12.98,t
p,Small,Punctate,Scaly,13.69,t
e,Tiny,Convex,Smooth,17.11,t
e,Tiny,Convex,Scaly,9.94,f
e,Tiny,Convex,missing,7.89,f
p,Moderate,Flat,Wrinkled,6.95,f
e,Tiny,Convex,Iridescent,18.23,t
p,Moderate,Convex,Sticky,3.55,f
e,Tiny,Convex,Textured,85.9,f
p,Small,Others,Silky,0.0,f
e,Tiny,Conical,missing,20.97,f
p,Moderate,Sunken,Textured,12.94,f
p,Small,Convex,missing,29.99,f
p,Tiny,Convex,Hairy,13.9,t
p,Moderate,Flat,missing,11.66,f
e,Tiny,Punctate,Grooved,1.59,f
p,Moderate,Convex,Silky,6.43,f
e,Tiny,Convex,missing,4.63,f
e,Tiny,Punctate,Dry,37.5,f
e,Tiny,Convex,missing,25.74,f
p,Medium,Convex,Grooved,2.65,f
p,Moderate,Flat,Leathery,5.16,f
p,Moderate,Sunken,Dry,2.37,f
e,Tiny,Convex,Silky,11.82,f
e,Tiny,Sunken,missing,7.4,f
e,Tiny,Convex,Smooth,15.25,f
p,Small,Convex,Silky,6.89,t
p,Moderate,Convex,Scaly,15.13,t
p,Small,Sunken,Wrinkled,5.43,f
e,Tiny,Convex,missing,11.15,t
p,Small,Others,missing,23.73,f
p,Medium,Others,missing,29.61,t
e,Tiny,Convex,Dry,18.16,f
e,Tiny,Flat,missing,18.87,f
p,Small,Convex,missing,4.07,f
p,Moderate,Convex,Scaly,5.18,f
e,Tiny,Sunken,Scaly,3.02,f
p,Moderate,Sunken,Dry,2.78,f
p,Moderate,Sunken,Silky,5.38,f
p,Moderate,Convex,Textured,8.64,t
p,Medium,Convex,Grooved,2.7,f
e,Tiny,Flat,Dry,6.04,f
e,Tiny,Convex,missing,13.4,f
p,Small,Convex,Smooth,8.89,t
p,Tiny,Convex,Hairy,18.18,f
p,Small,Sunken,Sticky,44.93,f
p,Moderate,Convex,Iridescent,5.57,f
p,Small,Convex,Hairy,17.72,f
p,Moderate,Sunken,Textured,11.99,f
e,Tiny,Convex,Smooth,23.68,f
p,Small,Flat,Hairy,2.34,f
e,Tiny,Flat,Hairy,5.19,f
e,Tiny,Sunken,missing,15.57,f
p,Moderate,Convex,Textured,23.96,f
e,Tiny,Flat,Hairy,10.77,f
p,Moderate,Sunken,missing,7.92,f
p,Moderate,Sunken,Dry,6.3,f
p,Moderate,Sunken,missing,5.66,f
e,Tiny,Convex,Grooved,2.55,f
e,Tiny,Convex,missing,13.44,t
e,Tiny,Punctate,Silky,14.49,t
p,Small,Punctate,Grooved,14.8,t
p,Tiny,Convex,Scaly,11.36,t
e,Tiny,Convex,Textured,7.22,f
p,Small,Convex,Iridescent,8.56,t
p,Moderate,Flat,Scaly,3.91,t
e,Tiny,Bell,Grooved,4.18,f
p,Moderate,Others,missing,18.45,f
p,Moderate,Bell,Grooved,3.37,f
p,Small,Convex,Grooved,2.62,f
e,Tiny,Convex,missing,9.49,f
p,Moderate,Sunken,missing,11.53,t
p,Moderate,Sunken,missing,6.17,f
p,Small,Flat,Hairy,14.99,t
p,Tiny,Flat,Textured,22.5,f
p,Moderate,Flat,Leathery,5.08,f
p,Small,Punctate,Textured,2.67,t
e,Tiny,Flat,Wrinkled,13.16,f
e,Tiny,Bell,Scaly,2.45,f
p,Small,Sunken,Silky,7.43,f
e,Tiny,Convex,Hairy,6.07,f
p,Tiny,Convex,Scaly,3.62,t
e,Tiny,Flat,Scaly,20.39,t
e,Tiny,Convex,missing,8.57,f
e,Tiny,Convex,Hairy,7.52,f
p,Moderate,Convex,Textured,9.0,t
p,Small,Others,Sticky,1.25,f
e,Tiny,Convex,Silky,22.95,f
e,Tiny,Convex,Hairy,16.55,t
p,Moderate,Convex,missing,14.98,t
p,Tiny,Convex,Scaly,6.03,f
e,Tiny,Punctate,Scaly,18.49,t
p,Moderate,Sunken,Dry,7.13,f
e,Tiny,Convex,Hairy,6.64,t
e,Tiny,Sunken,missing,8.27,f
p,Moderate,Bell,Textured,12.07,t
e,Tiny,Convex,missing,16.64,t
p,Tiny,Convex,Sticky,2.27,f
e,Tiny,Flat,Scaly,3.16,f
e,Tiny,Flat,Textured,6.2,f
p,Tiny,Convex,Textured,24.71,f
e,Tiny,Flat,Grooved,0.98,f
p,Small,Convex,Hairy,7.96,f
e,Tiny,Sunken,Leathery,10.75,f
p,Small,Convex,Hairy,8.46,f
e,Tiny,Sunken,missing,8.76,f
e,Tiny,Convex,missing,13.07,t
e,Tiny,Sunken,missing,8.2,f
p,Tiny,Sunken,Textured,17.59,t
p,Small,Convex,Grooved,0.79,f
p,Moderate,Convex,Grooved,2.35,f
p,Tiny,Bell,Scaly,18.12,f
p,Small,Sunken,Dry,6.47,f
p,Moderate,Convex,Iridescent,22.84,t
p,Moderate,Punctate,Scaly,11.43,t
p,Medium,Conical,Sticky,11.57,f
p,Small,Flat,Iridescent,2.21,f
e,Tiny,Sunken,missing,6.64,f
p,Moderate,Bell,Scaly,4.27,f
e,Tiny,Others,Leathery,50.19,f
e,Tiny,Convex,Leathery,9.91,f
p,Small,Conical,missing,3.67,f
p,Small,Convex,Scaly,13.37,t
p,Moderate,Bell,Textured,13.98,t
p,Small,Bell,Sticky,5.76,t
p,Tiny,Bell,Textured,2.56,t
p,Medium,Flat,missing,12.29,f
e,Tiny,Flat,missing,16.99,f
e,Tiny,Flat,Silky,9.9,f
p,Moderate,Convex,Iridescent,5.95,f
p,Small,Convex,Hairy,14.5,t
p,Small,Convex,Silky,6.26,t
p,Medium,Sunken,Dry,5.94,f
e,Tiny,Convex,Scaly,23.37,t
e,Tiny,Convex,Silky,13.16,f
p,Moderate,Others,Silky,0.0,t
p,Moderate,Others,Sticky,1.58,f
p,Moderate,Flat,missing,11.86,f
p,Moderate,Punctate,missing,34.89,f
e,Tiny,Convex,Wrinkled,14.04,f
e,Tiny,Convex,Silky,11.04,t
e,Tiny,Others,missing,20.15,f
p,Moderate,Flat,Scaly,20.46,f
e,Tiny,Sunken,Scaly,2.92,f
p,Moderate,Bell,Textured,7.17,t
p,Tiny,Flat,missing,7.47,f
p,Tiny,Sunken,Dry,11.55,f
p,Moderate,Convex,Grooved,18.79,t
p,Moderate,Convex,Grooved,32.81,f
e,Tiny,Convex,Silky,12.86,t
p,Moderate,Flat,Sticky,6.1,t
p,Small,Flat,Dry,2.92,f
e,Tiny,Flat,Hairy,6.24,f
e,Tiny,Sunken,missing,7.34,f
p,Small,Convex,Hairy,14.35,t
p,Small,Others,missing,15.62,f
p,Small,Convex,Grooved,2.31,f
e,Tiny,Flat,Silky,9.6,f
e,Tiny,Bell,Grooved,1.45,f
e,Tiny,Convex,missing,6.44,f
e,Tiny,Convex,Dry,37.42,f
e,Tiny,Convex,Hairy,13.81,t
e,Tiny,Convex,Silky,9.09,f
e,Tiny,Convex,Hairy,12.2,f
p,Small,Convex,Dry,10.31,f
p,Moderate,Others,missing,22.66,f
p,Moderate,Convex,Silky,6.16,f
e,Tiny,Bell,Grooved,3.1,f
e,Tiny,Flat,Silky,11.3,t
p,Small,Convex,Sticky,3.02,f
e,Tiny,Punctate,missing,12.9,f
p,Small,Punctate,Scaly,11.9,t
p,Small,Sunken,Dry,5.8,f
e,Tiny,Convex,missing,24.32,f
e,Tiny,Conical,Grooved,1.26,f
p,Moderate,Convex,Grooved,0.7,f
e,Tiny,Convex,missing,13.26,t
p,Moderate,Convex,Textured,24.81,f
p,Moderate,Convex,Sticky,1.63,f
e,Tiny,Convex,Iridescent,17.65,t
e,Tiny,Flat,Silky,28.15,f
e,Tiny,Convex,Sticky,10.08,f
e,Tiny,Convex,Textured,7.28,f
e,Tiny,Flat,Dry,6.63,f
e,Tiny,Sunken,Textured,17.48,f
p,Moderate,Flat,Textured,18.24,f
e,Tiny,Convex,missing,3.88,f
p,Medium,Punctate,missing,27.86,f
e,Tiny,Sunken,Scaly,3.2,f
p,Small,Convex,Textured,8.78,t
p,Medium,Convex,Iridescent,8.56,t
p,Small,Flat,missing,9.53,f
e,Tiny,Flat,Silky,9.73,f
e,Tiny,Convex,Textured,12.07,f
e,Tiny,Convex,Scaly,14.2,t
p,Moderate,Conical,missing,3.57,f
p,Small,Flat,Sticky,33.06,f
p,Moderate,Flat,missing,9.13,f
p,Moderate,Bell,Textured,7.01,f
p,Moderate,Flat,Hairy,2.87,f
p,Tiny,Flat,missing,8.81,f
e,Tiny,Convex,missing,8.03,f
p,Small,Flat,missing,9.85,f
e,Tiny,Convex,Silky,21.49,f
e,Tiny,Convex,Leathery,7.37,f
e,Tiny,Convex,Hairy,5.27,t
e,Tiny,Convex,Scaly,17.28,t
p,Tiny,Conical,Sticky,10.44,f
p,Small,Punctate,Scaly,15.91,f
e,Tiny,Others,Leathery,51.93,f
e,Tiny,Bell,Grooved,2.99,f
p,Moderate,Punctate,Textured,2.6,t
p,Moderate,Flat,Dry,6.8,t
p,Medium,Punctate,Scaly,12.02,t
p,Moderate,Bell,missing,2.09,f
p,Moderate,Convex,Grooved,18.14,t
p,Moderate,Convex,Wrinkled,8.54,f
p,Small,Others,Smooth,16.56,f
e,Tiny,Bell,Scaly,3.74,f
e,Tiny,Sunken,missing,24.22,f
e,Tiny,Convex,missing,8.98,f
e,Tiny,Punctate,Wrinkled,76.3,f
e,Tiny,Flat,missing,14.46,f
e,Tiny,Convex,Textured,2.14,f
p,Moderate,Flat,missing,13.96,t
p,Moderate,Convex,Textured,7.77,t
p,Moderate,Others,Leathery,0.0,f
p,Moderate,Bell,Textured,13.37,t
p,Moderate,Convex,missing,12.34,f
p,Small,Others,missing,25.82,t
e,Tiny,Convex,Silky,10.91,f
e,Tiny,Convex,Wrinkled,2.69,f
e,Tiny,Convex,missing,13.22,t
p,Moderate,Bell,Silky,6.6,t
p,Moderate,Convex,Textured,18.69,f
p,Moderate,Convex,Silky,6.66,f
p,Moderate,Sunken,missing,6.78,f
p,Small,Flat,missing,8.5,f
e,Tiny,Flat,Scaly,12.34,t
e,Tiny,Convex,Textured,17.47,t
e,Tiny,Convex,Dry,9.95,f
e,Tiny,Convex,Dry,16.51,f
p,Moderate,Flat,Dry,2.61,f
e,Tiny,Sunken,missing,25.77,f
p,Moderate,Sunken,Hairy,12.96,f
e,Tiny,Convex,missing,4.45,f
e,Tiny,Convex,Hairy,5.96,f
e,Tiny,Flat,Grooved,1.07,f
e,Tiny,Convex,Grooved,0.93,f
e,Tiny,Flat,Scaly,13.3,t
p,Moderate,Flat,Textured,3.5,f
e,Tiny,Sunken,Dry,4.87,f
e,Tiny,Convex,Hairy,3.86,t
e,Tiny,Sunken,Scaly,3.95,f
p,Medium,Flat,Dry,2.89,f
p,Moderate,Convex,Silky,28.1,f
p,Tiny,Bell,Textured,6.09,t
p,Moderate,Flat,missing,0.99,f
e,Tiny,Convex,missing,4.04,f
e,Tiny,Convex,Textured,7.52,f
e,Tiny,Sunken,Smooth,25.57,f
p,Moderate,Others,Leathery,0.0,f
e,Tiny,Convex,Hairy,14.0,f
p,Moderate,Convex,Iridescent,6.33,f
e,Tiny,Sunken,Dry,13.39,f
p,Medium,Others,Sticky,16.46,f
p,Moderate,Convex,Grooved,1.08,f
p,Medium,Flat,Dry,33.96,f
e,Tiny,Convex,Leathery,9.29,f
e,Tiny,Sunken,missing,7.15,f
p,Small,Convex,Textured,26.48,f
p,Small,Convex,Sticky,1.25,f
e,Tiny,Convex,Dry,13.54,f
p,Moderate,Conical,Iridescent,6.6,f
p,Moderate,Others,missing,26.76,f
p,Moderate,Convex,missing,17.11,f
p,Moderate,Bell,Textured,5.95,t
e,Tiny,Convex,Textured,11.53,f
p,Moderate,Flat,Wrinkled,10.34,f
e,Tiny,Punctate,Wrinkled,82.67,f
e,Tiny,Convex,Scaly,10.09,f
e,Tiny,Flat,Hairy,6.59,f
e,Tiny,Flat,missing,20.12,f
p,Moderate,Others,Silky,0.0,f
e,Tiny,Convex,Dry,7.0,f
p,Moderate,Others,Sticky,13.8,f
e,Tiny,Convex,Scaly,18.27,t
p,Moderate,Convex,Smooth,8.41,t
p,Moderate,Bell,Iridescent,7.25,f
p,Moderate,Others,missing,15.33,f
p,Small,Bell,Hairy,1.59,f
e,Tiny,Flat,missing,14.91,f
p,Moderate,Conical,Sticky,14.11,f
p,Moderate,Convex,Grooved,1.02,f
e,Tiny,Others,Leathery,46.29,f
e,Tiny,Convex,Scaly,8.75,f
e,Tiny,Convex,missing,3.52,f
e,Tiny,Convex,Dry,13.31,f
e,Tiny,Convex,Hairy,5.29,t
e,Tiny,Convex,Silky,2.09,f
p,Small,Convex,missing,13.09,f
e,Tiny,Convex,Dry,17.51,f
