Seating Capacity,Average Meal Price,Social Media Followers,Revenue
35,32.17,36333,279528.59
32,35.62,37855,279860.31
42,27.58,30374,279891.58
37,31.03,41165,279892.7
36,33.26,33145,280005.81
40,30.16,20014,280151.14
37,30.58,44062,280635.28
35,33.73,21675,280721.58
40,29.93,43570,280989.1
46,26.28,15640,281011.16
38,32.26,15053,281050.45
44,26.84,13502,281156.6
40,29.49,15297,281328.09
33,37.11,32028,281502.55
33,36.36,14843,281526.91
35,33.33,27886,281607.01
37,32.02,33179,281630.59
32,38.49,20181,281632.1
42,27.17,30249,281657.53
39,31.06,45320,282321.64
43,28.07,31067,282400.9
30,40.13,35666,282498.08
35,33.12,21718,282516.16
43,26.67,18487,283130.12
46,25.77,50704,283445.45
32,37.63,22004,283555.86
40,30.34,46052,283756.96
33,35.26,29868,283885.74
37,32.79,36516,284614.29
36,32.4,48102,284858.6
30,37.93,49334,285074.39
36,33.42,35326,285160.94
41,29.38,21096,285420.74
30,39.83,23227,285472.73
45,26.3,45175,285517.05
37,31.15,29503,285720.95
37,32.41,35123,285730.05
43,27.69,31934,285789.6
37,32.02,24104,285885.74
32,38.49,18370,286025.45
41,30.26,35749,286407.65
34,35.78,24442,286468.44
41,30.48,13021,286777.75
36,33.62,25346,287061.48
32,39.37,14916,287122.88
33,35.18,39556,287277.4
44,27.31,29638,287457.84
38,32.47,15080,287468.95
34,36.18,13191,287865.03
35,34.11,13929,288042.58
30,39.58,34672,288362.9
46,26.49,16127,288418.41
35,34.1,52430,288714.4
42,28.65,18613,288761.1
41,29.94,15528,288813.14
30,40.94,28579,289202.79
40,31.33,14782,289237.64
36,35.07,20658,289352.42
45,27.95,27376,289638.1
33,37.68,26765,289718.67
45,27.92,17899,290270.07
33,38.5,6773,290284.65
46,26.86,31728,290499.5
37,32.88,29347,290726.55
36,34.89,28594,290822.92
42,29.54,10897,290929.47
37,32.8,10205,291136.05
43,27.4,42457,291261.95
43,28.25,33683,291876.65
40,31.48,47014,291950.72
35,35.51,20213,292235.45
30,42.42,16170,292286.86
46,26.37,49139,292579.21
44,27.44,40827,292641.91
39,30.86,19070,292712.42
32,37.69,26320,292871.71
36,32.63,46042,292992.44
34,36.01,14374,293046.12
43,29.31,33373,293592.39
33,37.84,23943,294079.35
42,29.56,33885,294161.79
35,33.84,39845,294258.75
35,35.65,18155,294273.55
39,32.49,13102,294406.68
32,40.48,23096,294681.46
38,32.26,51670,294928.06
37,33.2,24237,295102.85
48,25.87,52616,295179.39
37,32.87,18707,295331.63
40,32.11,34058,295333.14
39,31.19,35266,295485.12
30,40.74,8782,295527.2
39,32.85,23467,295732.1
32,40.31,27436,295773.74
32,38.3,14530,295819.0
32,39.18,29432,296005.96
45,27.19,36226,296209.19
31,39.54,24541,296268.77
33,38.68,22160,296515.02
37,34.83,25420,296694.83
47,26.75,50249,296706.45
47,26.19,24139,297101.44
35,36.6,37191,297205.55
34,37.76,30230,297243.54
33,36.97,23856,297299.65
42,29.23,30392,297426.82
38,34.67,18120,297457.38
34,36.67,29682,297498.58
32,40.37,28431,297628.68
37,34.21,20073,297770.45
31,40.11,49922,297848.52
37,34.17,24482,297953.78
51,25.05,20357,298136.55
45,28.3,17750,298522.6
36,34.26,48778,298590.7
39,33.92,8762,298645.14
32,39.62,27413,298764.59
41,30.22,35468,298777.44
35,37.11,18897,298806.65
46,26.93,36245,299126.26
32,40.77,13930,299155.07
32,38.2,36017,299383.65
38,33.41,35273,299964.56
30,42.56,25015,300090.31
40,31.78,41518,300305.5
35,37.19,28599,300513.74
31,41.84,27107,300546.11
38,34.73,12741,300605.96
34,37.73,23015,300684.68
40,32.27,29290,300791.9
46,28.81,14924,300832.48
48,26.34,39000,300855.92
33,39.83,17016,300889.07
36,33.99,40816,300915.83
42,30.78,8321,300936.65
36,33.28,44861,300956.93
31,39.8,31457,301192.55
31,39.73,8262,302014.6
30,42.26,48725,302276.97
34,37.44,46921,303148.31
37,35.39,29587,303324.88
41,31.87,32416,303360.34
37,35.42,34780,303841.2
49,25.66,31537,304014.43
49,25.61,35211,304216.13
38,34.28,31628,304359.92
37,34.98,34934,304979.64
42,31.82,10415,305097.55
39,33.69,13382,305248.09
34,37.9,32993,305944.65
39,32.31,31968,306131.47
42,30.43,41930,306154.0
37,35.81,20574,306318.49
44,30.05,32882,306382.0
40,31.11,34805,306420.58
50,25.86,33296,306465.08
37,35.81,29758,306646.53
37,34.27,24645,307111.23
38,34.48,32025,307194.41
54,25.19,15983,307494.18
34,38.88,8781,307734.01
37,35.42,16543,307751.75
38,35.7,20369,308246.85
49,26.05,33998,308279.0
31,44.04,17847,308295.95
46,27.69,30283,308314.93
30,42.07,39694,308346.55
46,28.87,27197,308393.71
32,42.32,12720,308633.42
32,40.62,19604,308665.02
38,34.04,36053,309004.67
48,27.87,31713,309265.5
31,43.81,20268,309472.86
47,28.63,29662,310277.42
42,30.89,13802,310283.62
38,34.82,22455,310430.03
39,32.06,45068,310450.78
35,36.04,36916,310474.02
47,27.64,37180,310539.42
35,36.87,43768,310638.52
49,26.37,18474,310660.71
35,37.84,25767,310684.09
44,29.87,25193,310855.27
33,39.05,28686,311126.45
31,44.14,20406,311287.42
39,33.18,28908,311299.86
37,35.53,41164,311765.95
50,27.19,16364,311829.94
43,29.68,20929,311951.73
33,38.15,50530,311953.3
35,37.38,44443,312168.47
50,27.09,25722,312553.39
40,33.95,15614,312588.45
32,42.68,19937,312798.87
34,38.16,12410,312994.04
49,26.45,43665,313211.25
54,25.11,21286,313484.71
31,42.56,37131,313620.29
47,28.11,26284,313719.43
48,27.4,23533,313757.45
37,35.47,39545,313803.8
47,29.47,15794,313844.55
31,43.58,18286,313893.4
38,35.16,33690,314164.86
41,32.35,19528,315051.15
45,28.84,28069,315230.69
42,32.71,7904,315506.37
41,31.91,33891,315842.8
53,26.12,10991,315925.93
45,28.49,39200,316258.13
34,39.5,27561,316363.05
31,40.88,46829,316426.01
30,45.71,23950,316499.89
34,39.83,22663,316522.47
37,36.49,42286,316764.39
34,37.79,33402,316776.96
42,31.84,45386,316972.5
46,29.25,27224,317061.45
33,41.19,21259,317106.75
40,33.91,36845,317107.84
43,30.51,13847,317170.43
48,27.45,28118,317671.65
39,34.19,26837,317880.37
37,35.32,50613,317939.01
34,39.16,29789,318402.73
35,38.61,17663,318499.33
33,40.3,50621,318577.05
34,40.06,14265,318614.51
46,28.15,34818,318674.75
41,32.83,38400,318959.85
39,35.85,15671,319007.15
43,31.93,10567,319063.59
40,34.38,12317,319182.23
38,36.44,39025,319183.41
39,34.69,33171,319313.88
31,44.49,35687,319502.41
34,38.24,41517,319810.81
44,30.89,18737,319828.33
35,37.39,25343,319952.15
32,41.22,34157,319969.37
38,36.16,20962,320029.84
54,161.8921477846721,41304,320139.2
40,33.48,36486,320207.16
48,28.02,47977,320346.45
37,38.17,7638,320360.3
38,35.75,20530,320600.75
41,33.98,12071,320799.29
41,31.95,39690,320835.05
48,28.12,13021,320889.63
32,43.08,35626,320970.14
32,41.63,29653,321043.57
33,41.87,40501,321213.68
34,40.89,30567,321508.58
55,25.06,29846,321587.02
51,26.51,19365,321782.9
39,34.96,20063,321821.01
34,38.81,42660,321890.39
37,37.23,38943,321953.16
51,27.37,17537,322232.71
32,43.48,28009,322302.11
56,25.28,16292,323205.04
42,33.16,24220,323314.44
30,45.33,14019,323317.77
35,39.93,34711,323531.83
35,38.91,37060,323548.08
40,32.94,41627,323749.79
38,35.53,25078,323817.21
39,35.58,32790,323830.06
36,39.14,16702,324234.94
32,42.34,37972,324237.0
36,37.42,42641,324348.17
31,44.7,24521,324499.55
54,25.42,17069,324583.41
49,27.14,24810,324783.24
42,32.09,30862,325599.3
36,39.15,23871,325660.95
41,35.15,17850,325900.8
45,31.49,23681,325942.35
50,26.84,27675,326021.31
51,27.88,28251,326048.07
38,35.27,27409,326055.21
49,27.82,30097,326105.73
40,35.25,43071,326109.3
54,26.3,27650,326270.5
43,32.09,15512,326320.9
37,37.18,38043,326501.35
43,33.2,24159,326508.85
55,25.59,41780,326535.64
35,38.35,32087,326541.3
52,26.51,32843,326652.45
40,35.08,48075,326713.33
31,46.28,21617,326785.49
35,38.75,34390,326812.75
44,31.85,18017,326954.6
43,32.88,25303,327233.91
32,43.29,34933,327349.27
54,25.73,40215,327358.06
40,33.98,19671,327381.41
50,27.74,21575,327414.03
33,42.29,32951,327415.56
37,36.91,39032,327506.69
35,39.6,10938,327701.1
53,26.58,49766,327732.16
43,31.91,15215,327803.46
43,31.6,33441,327854.95
31,45.81,42315,327905.59
43,33.1,24084,328073.4
45,31.86,17919,328172.41
31,45.33,13338,328187.33
35,39.36,18529,328202.45
37,38.33,36712,328284.58
47,29.38,13338,328446.82
44,31.1,43275,328452.15
42,32.28,43376,328468.56
43,32.6,21703,328473.25
47,30.48,19273,328524.29
54,26.19,18348,329079.01
50,27.32,54326,329153.66
50,28.06,13667,329384.13
43,33.72,20509,329423.85
48,29.82,26520,329821.98
38,36.6,39173,329923.95
55,25.86,28172,329958.52
47,29.17,35873,330034.28
36,39.43,24279,330107.11
30,47.58,21894,330306.84
36,39.58,44326,330355.48
49,27.84,29795,330380.23
50,28.4,14979,330428.85
44,31.73,35681,330464.25
45,31.15,17511,330682.0
42,32.68,32915,330999.49
51,27.59,14871,331508.77
36,39.95,25523,331580.65
44,31.09,42898,331831.76
39,34.83,36479,332077.78
37,37.9,36688,332085.5
39,36.24,30473,332121.43
46,31.18,28033,332122.21
49,30.18,11266,332212.98
37,37.65,31925,332365.85
46,31.61,23189,332463.38
30,48.27,30906,332649.46
44,32.05,28032,332819.4
42,32.9,17740,332982.2
40,35.25,30564,332993.45
38,37.65,29364,332994.2
42,33.35,14326,333154.95
45,32.42,29196,333166.58
40,35.73,30227,333273.68
41,35.01,47046,333410.65
34,41.62,27672,333545.2
31,45.48,31974,333594.84
41,33.65,31582,333699.0
31,44.49,41516,333912.18
31,46.67,26984,333973.51
30,46.47,17614,333978.15
43,31.68,36766,334028.8
42,33.1,37432,334381.5
45,31.67,29917,334518.16
45,31.2,23346,334805.6
34,42.37,26787,334858.55
52,27.52,25482,334905.52
42,33.33,33056,335008.89
42,34.25,13923,335017.4
37,37.55,25235,335224.8
57,25.63,35242,335336.15
33,42.18,34828,335552.36
43,33.58,34286,335561.78
44,33.23,30685,335583.3
34,42.49,30142,335587.36
53,26.31,31592,335590.62
39,35.71,38133,335833.38
40,35.13,23226,335909.42
49,29.11,11084,335978.99
53,27.11,13989,336081.75
42,34.74,35000,336302.16
55,26.24,26882,336381.14
44,32.88,36893,336735.49
36,40.04,16378,336916.04
30,47.11,23182,337049.98
42,34.78,34532,337074.92
55,27.18,5656,337159.24
30,47.36,30668,337482.94
36,40.6,28416,337812.6
48,30.1,44491,338099.55
46,31.27,17272,338588.3
41,36.04,22298,338596.66
41,35.59,17569,338599.28
49,29.81,16742,338750.73
46,32.16,46604,338898.9
31,46.72,52883,339184.57
47,30.44,34286,339275.36
42,34.69,19289,339644.16
35,41.56,10957,339787.03
45,31.96,34283,339806.45
38,39.32,33024,340022.66
45,32.6,23330,340117.9
39,35.83,24456,340134.15
48,30.1,23459,340556.65
34,43.09,11571,340682.35
41,34.32,27596,340849.62
45,31.68,37244,340976.58
32,46.84,26097,341021.79
32,45.67,39437,341373.14
54,27.25,15569,341491.2
60,25.0,14654,341620.7
51,28.08,7811,341700.53
37,39.03,28847,341766.2
38,37.65,20161,341878.65
42,33.66,22400,341940.42
42,34.47,18303,342015.64
45,31.64,32536,342406.52
36,39.68,24727,342458.47
50,28.74,20825,342511.05
36,38.82,36042,342602.12
38,38.02,38104,342614.06
58,25.78,21828,342640.14
42,34.27,35713,342829.01
49,28.78,22600,342848.44
35,42.03,24432,342921.81
34,42.36,21451,342979.25
43,35.38,17904,343010.24
45,32.76,33757,343033.69
34,43.66,29766,343442.74
50,28.66,7384,343620.18
37,40.2,24250,343921.6
38,38.37,24231,343954.29
42,34.1,30888,344015.7
41,35.49,27510,344018.81
59,25.44,21731,344062.87
44,33.98,32453,344374.25
41,35.43,18864,344739.52
50,28.69,34650,344842.79
37,39.51,13197,344867.27
46,31.92,20642,345093.9
40,37.26,35233,345261.91
41,36.11,37240,345768.63
35,41.43,30897,345937.43
51,28.0,48000,346085.5
45,32.82,19343,346257.91
39,38.82,23666,346396.32
44,33.46,23100,346422.6
47,31.78,40666,346615.24
53,28.04,21938,346650.18
43,34.87,34408,346829.48
47,31.47,48267,346910.99
45,33.89,15833,347072.65
37,40.18,27026,347655.6
34,43.49,24862,347828.42
46,32.27,39622,347872.48
51,28.9,28602,348172.8
36,40.87,35230,348259.13
53,27.84,30830,348574.04
41,37.18,40538,348688.96
30,51.02,20591,348867.77
37,40.28,48170,348904.08
41,36.95,25219,348987.45
60,25.28,11614,349185.4
42,35.86,35535,349264.33
30,48.89,27579,349384.91
36,40.37,36006,349388.65
53,27.1,30749,349405.35
42,36.42,29262,349824.56
47,32.9,20814,349826.3
36,41.09,26672,350211.27
34,42.75,52496,350218.3
42,35.28,44595,350311.49
54,28.72,29002,350544.5
44,34.19,14412,350602.65
50,29.78,36599,350715.27
46,31.9,42014,350969.4
36,42.64,36401,351233.67
57,25.98,35822,351250.06
33,45.96,29527,351295.77
37,39.95,21649,351423.0
32,46.03,19579,351482.03
32,47.88,44901,351916.95
34,43.59,25279,352039.54
44,34.76,38799,352348.07
42,35.19,29722,352391.19
42,36.09,19678,352505.59
39,38.77,53745,352509.68
34,44.69,25520,352571.1
51,29.06,27011,352919.21
38,39.71,33550,353058.05
45,32.42,39577,353354.05
41,37.55,29098,353452.45
45,32.99,21765,353639.05
38,40.48,29703,353977.95
43,35.1,15699,354052.55
50,30.06,7457,354064.37
38,40.54,14944,354287.38
38,38.96,13684,354312.16
47,32.13,38035,354467.39
38,40.84,22909,354578.89
46,32.46,44600,354649.56
40,37.03,39125,354711.61
42,35.64,18131,354816.87
32,48.25,39485,354895.25
41,38.01,23890,355326.27
36,41.23,12386,355532.09
53,28.6,35634,355781.3
43,34.42,39168,355942.82
53,28.11,17989,356011.97
48,31.66,13877,356020.03
42,36.4,14482,356084.4
41,37.53,28450,356348.47
35,42.45,23736,356368.95
47,33.26,18522,356413.32
43,36.13,19726,356647.94
50,30.44,27700,356675.48
47,32.49,32840,356678.38
47,32.97,32728,356744.73
53,28.73,31531,356748.23
59,26.3,24761,356863.75
44,35.74,23362,356869.0
56,26.56,20486,357045.94
49,30.35,22509,357101.0
33,46.01,17606,357124.34
44,35.26,33966,357139.0
56,26.49,36909,357201.37
39,37.76,46009,357237.33
33,45.8,34733,357274.95
61,25.09,27635,357303.22
48,32.02,21737,357371.21
34,45.06,19305,357474.27
42,36.49,11075,357846.25
46,33.03,29823,357910.64
44,34.08,17351,357952.89
47,32.94,35450,358275.34
33,46.34,41587,358322.39
30,50.18,16725,358531.67
42,36.92,26911,358582.73
35,45.3,24218,358587.5
31,51.07,11601,358739.3
47,33.14,36283,359209.97
48,32.38,29441,359224.15
34,43.31,55472,359228.43
57,27.56,19930,359282.32
32,47.29,22007,359324.5
58,26.57,32090,359402.9
46,32.71,29819,359545.58
39,39.26,37452,359632.86
44,190.4133726603292,17586,359672.98
39,38.68,38414,359843.62
39,40.32,15392,359983.16
52,30.08,12225,360002.19
50,31.96,14397,360249.69
49,32.13,9749,360530.01
46,34.52,25006,360593.0
52,29.38,22707,360738.83
57,26.59,26923,360912.71
42,36.0,19648,361230.9
36,43.88,27942,361333.58
34,45.65,22600,361575.75
49,32.47,21887,362112.85
41,38.58,28513,362154.21
30,51.41,24403,362162.81
55,27.39,22528,362215.66
41,38.62,28823,362392.11
44,35.39,13519,362616.32
58,27.02,42129,362962.49
41,37.73,31439,363203.11
59,26.12,26334,363444.78
43,35.71,33275,363632.94
33,48.51,21927,363856.49
58,27.38,20548,363915.82
49,32.73,12650,364103.08
55,28.02,28844,364381.14
50,31.21,33666,364406.64
31,49.89,25862,364505.31
39,40.19,17062,364814.52
47,32.56,30363,364873.23
32,48.59,11284,364906.08
43,36.96,37465,364950.07
60,25.48,36200,365167.32
52,30.27,18417,365303.24
47,32.2,48304,365315.7
43,35.91,18290,365351.46
34,47.14,18402,365412.32
34,46.87,47560,365552.42
41,37.34,48738,365552.64
48,31.52,28288,365589.9
39,39.05,35153,366332.35
31,49.72,45473,366335.57
49,32.12,41493,366417.93
47,32.84,15822,366418.56
61,25.47,41935,366506.39
60,26.61,21581,366902.83
56,28.08,20399,367139.87
42,37.97,26678,367171.65
49,32.04,29734,367294.18
50,31.13,13382,367343.62
44,35.57,25413,367440.72
37,42.92,20587,367511.99
49,31.15,41765,367627.9
54,29.35,12960,367703.25
44,36.28,19751,367732.71
50,30.7,23191,367883.15
58,27.83,23453,367962.51
60,25.69,15288,368040.81
53,30.39,23248,368047.32
58,27.85,34829,368201.3
47,33.16,36662,368235.06
46,35.41,13150,368258.04
50,31.6,16189,368379.75
56,27.94,32108,368548.74
41,39.32,20227,368644.11
49,32.19,34637,368936.32
45,34.13,30423,369110.81
48,32.69,20635,369120.06
43,36.11,21434,369309.98
63,25.13,42209,369496.85
33,48.06,24928,369771.2
56,27.85,47726,370083.8
51,30.82,29430,370281.72
37,41.87,39985,370368.22
60,26.64,35469,370545.39
46,35.3,16211,370590.45
41,38.39,38055,370850.63
56,28.48,17985,370874.11
37,42.99,36035,371047.34
41,39.37,40339,371052.0
44,35.7,27876,371086.9
36,45.57,6838,371183.03
40,39.04,23650,371282.24
36,45.04,17226,371338.52
56,28.19,29077,371416.76
35,46.09,31593,371524.64
40,40.0,28178,371557.4
45,36.26,14897,371571.83
36,45.46,21333,371970.01
55,28.35,45635,372167.1
55,29.02,51269,372361.37
52,247.45582241164345,24568,372430.4
58,28.25,19804,372437.2
65,25.22,27466,372541.74
40,40.89,43161,372863.08
36,43.58,33839,372923.61
53,29.57,20558,373050.43
53,29.84,39661,373594.01
48,32.99,26299,373608.81
52,30.1,42777,374095.35
51,30.76,42852,374466.66
44,36.81,25567,374525.2
41,40.0,20862,374803.6
65,25.22,33241,374926.07
53,31.08,20875,374941.51
40,39.76,26001,375195.59
31,51.67,20444,375278.21
31,50.74,43114,375357.58
44,36.88,21068,375527.1
56,28.12,18588,375545.58
40,40.35,18102,375583.7
36,46.04,23445,375929.41
30,54.41,30568,376100.73
45,35.25,49726,376230.3
42,38.27,14455,376263.34
53,30.95,10395,376280.0
62,26.24,27138,376374.8
50,33.4,14149,376535.55
62,26.62,37825,376617.89
44,36.06,35420,376627.54
40,40.05,18745,376632.1
52,30.95,21765,376637.1
50,32.78,30949,376707.13
54,29.89,31074,376713.43
53,31.4,15014,377054.3
42,39.85,14189,377202.0
32,50.86,23339,377255.47
33,50.54,27264,377258.26
57,29.21,39296,377270.4
41,39.22,18362,377456.78
39,40.94,33565,377597.09
50,32.17,42685,377626.81
53,29.56,28392,377721.66
60,26.36,29299,377835.05
41,39.15,8582,377970.25
46,35.79,34987,377996.72
52,31.47,48091,378123.92
46,34.92,40277,378127.87
52,31.0,23520,378147.0
51,32.06,35782,378168.4
51,32.58,25454,378433.98
56,28.97,34000,378490.81
42,38.33,11729,378614.14
40,41.13,24643,378644.15
41,39.88,16626,378701.34
53,30.82,17852,378706.78
45,35.31,25319,378780.15
49,33.65,34072,378966.6
42,39.08,19508,379051.68
52,31.78,17488,379168.4
53,29.79,21734,379175.28
33,49.46,15098,379212.48
40,39.37,40787,379332.16
40,41.42,23660,379526.52
58,28.56,25006,379671.42
31,51.67,48654,379837.52
46,35.23,27549,379839.47
47,35.57,21433,379853.77
66,25.44,30873,379939.49
48,34.87,15004,380007.73
31,53.83,30459,380028.77
53,31.25,17195,380108.0
32,50.18,21067,380196.01
63,26.25,28756,380272.55
43,39.03,23125,380277.92
45,36.21,7801,380351.09
44,38.14,12195,380465.67
40,41.92,18901,380840.43
47,34.28,25720,380927.3
48,34.64,38049,381021.01
43,37.4,38754,381049.4
53,31.62,27836,381167.24
40,41.36,15184,381180.8
65,25.09,43146,381222.34
46,35.98,22466,381240.38
42,38.96,31987,381263.97
43,38.64,15728,381423.76
30,55.47,25159,381621.12
45,35.97,34080,381624.18
53,30.21,38355,381717.3
55,30.43,20858,382004.56
31,51.51,46726,382065.84
47,35.19,14075,382165.78
42,39.88,28071,382645.71
50,32.55,43182,382777.7
55,29.3,37361,382825.85
53,31.15,46740,383220.9
51,32.68,32934,383244.3
38,44.38,23928,383272.06
49,34.17,28964,383313.68
48,33.66,38788,383324.4
32,51.45,29344,383381.5
55,29.04,40294,383507.4
30,55.36,20845,383568.29
66,25.1,43253,383698.45
38,42.21,35341,383751.56
42,39.3,12851,383932.65
53,31.05,25975,384024.45
43,38.83,9045,384051.6
66,25.38,24586,384091.92
48,35.27,14115,384340.02
39,41.29,28681,384505.74
30,54.72,34575,384580.31
67,25.3,36409,384735.25
50,33.67,13701,384792.95
54,30.52,23247,384904.53
48,35.08,39473,385105.55
59,28.82,18601,385123.73
46,36.34,17457,385199.15
49,34.16,50707,385263.73
47,35.93,34985,385381.23
59,28.66,25895,385428.75
56,29.8,6808,385495.9
64,26.06,18038,385509.62
42,38.41,22545,385536.83
47,35.32,35124,385668.92
55,30.44,25970,385669.66
42,39.27,27190,385799.81
54,31.16,33485,386021.01
37,43.97,34429,386065.5
49,34.4,25205,386254.45
49,33.77,17002,386430.73
37,45.88,39045,386443.97
53,31.91,11995,386455.95
31,53.39,42594,386457.63
