iter	RMSE
231	81153.20133
232	80835.55547
233	80051.64202
234	79286.52587
235	78413.6472
236	77466.67345
237	77185.15385
238	76414.27599
239	75674.77051
240	75387.61054
241	74674.81627
242	73921.902
243	73622.0707
244	73335.66721
245	72664.96437
246	71970.46598
247	71200.8379
248	70586.70823
249	70324.63255
250	70067.71141
251	69780.6017
252	69082.46094
253	68455.0669
254	68201.30243
255	67498.74084
256	66827.25505
257	66188.84787
258	65891.14822
259	65654.52372
260	64942.47576
261	64355.05591
262	63766.30986
263	63230.96851
264	62945.57282
265	62274.53615
266	61667.10764
267	61433.38828
268	60871.30736
269	60651.74962
270	60076.32099
271	59868.86865
272	59219.6296
273	59012.1829
274	58501.89775
275	58297.14983
276	57696.05441
277	57150.49005
278	56529.20815
279	56330.13754
280	55796.19609
281	55246.71439
282	55043.83785
283	54500.97133
284	53924.0071
285	53461.32769
286	52951.5152
287	52458.44807
288	52231.08717
289	51742.21946
290	51267.44715
291	50729.38321
292	50194.61808
293	49682.156
294	49225.62265
295	48752.22988
296	48328.28598
297	47846.36965
298	47410.94085
299	47246.07933
300	46841.36499
301	46683.62627
302	46513.33877
303	46080.04669
304	45665.45648
305	45264.07276
306	45115.10381
307	44679.44887
308	44285.5327
309	44140.40808
310	43775.8185
311	43632.94769
312	43276.5187
313	42892.82274
314	42532.12702
315	42394.34826
316	42051.85437
317	41653.93179
318	41519.85347
319	41387.88129
320	41027.14706
321	40657.90959
322	40529.88255
323	40209.91502
324	39846.99359
325	39517.18015
326	39146.97917
327	38785.45202
328	38663.1212
329	38543.19969
330	38202.34878
331	37855.29743
332	37510.09711
333	37394.09571
334	37058.51073
335	36936.91368
336	36790.08821
337	36509.50958
338	36365.74989
339	36045.26277
340	35917.80561
341	35595.34373
342	35486.80657
343	35161.1167
344	34855.32549
345	34750.0129
346	34451.54533
347	34348.4365
348	34246.51396
349	34145.76573
350	33905.03212
351	33806.17681
352	33532.83024
353	33435.99726
354	33340.28235
355	33062.20253
356	32968.50041
357	32704.18293
358	32420.93856
359	32153.93793
360	32059.53637
361	31966.28084
362	31725.3769
363	31626.52733
364	31356.4948
365	31123.47669
366	31029.50553
367	30942.12936
368	30695.30846
369	30623.42344
370	30366.15268
371	30277.24086
372	30043.26972
373	29832.53044
374	29581.41798
375	29496.04292
376	29251.58261
377	29025.41212
378	28804.76427
379	28588.60933
380	28373.00338
381	28156.40672
382	27965.21395
383	27901.79699
384	27675.74119
385	27466.80563
386	27265.39034
387	27051.4648
388	26852.62076
389	26668.77664
390	26492.20164
391	26429.24953
392	26228.96418
393	26018.52308
394	25947.44984
395	25753.32442
396	25584.41373
397	25405.17944
398	25216.65876
399	25018.56246
400	24960.99574
401	24772.85667
402	24605.62492
403	24549.97668
404	24370.46431
405	24208.70726
406	24033.3569
407	23875.91878
408	23822.97093
409	23643.23454
410	23490.43804
411	23439.08116
412	23275.40695
413	23114.81836
414	22968.12445
415	22918.72448
416	22743.49784
417	22547.78119
418	22499.68087
419	22451.98168
420	22407.83755
421	22218.47363
422	22172.18731
423	22129.34419
424	22076.05107
425	21914.5024
426	21764.95211
427	21628.31855
428	21582.34527
429	21410.36134
430	21233.6314
431	21188.90483
432	21141.7279
433	21011.67969
434	20970.16168
435	20789.33427
436	20744.19649
437	20603.40372
438	20437.14065
439	20395.26102
440	20353.88747
441	20217.51347
442	20096.34563
443	20060.34922
444	19890.4513
445	19855.18812
446	19723.11729
447	19568.10298
448	19526.91347
449	19488.36683
450	19342.61954
451	19304.67005
452	19266.07528
453	19106.49429
454	18955.71735
455	18919.37988
456	18883.53498
457	18737.10239
458	18699.73304
459	18663.68324
460	18512.72377
461	18371.99865
462	18335.99459
463	18300.43084
464	18155.52502
465	18020.20626
466	17985.65879
467	17952.27445
468	17820.95643
469	17787.3652
470	17656.57045
471	17535.92809
472	17503.36423
473	17471.90499
474	17345.40298
475	17314.52552
476	17181.8907
477	17066.56308
478	17036.59026
479	16917.28104
480	16887.86363
481	16767.05895
482	16650.28122
483	16621.58322
484	16592.23938
485	16479.04099
486	16450.32334
487	16331.68878
488	16303.58296
489	16189.60225
490	16081.33025
491	16054.33088
492	15949.12998
493	15922.32079
494	15895.83701
495	15786.95648
496	15686.31358
497	15600.47822
498	15501.65016
499	15473.87716
500	15446.47606
501	15351.5628
502	15327.2112
503	15227.21814
504	15200.96477
505	15110.4727
506	15018.37165
507	14995.19184
508	14972.28803
509	14895.53878
510	14802.89673
511	14778.49691
512	14698.03336
513	14630.18704
514	14606.48338
515	14518.19177
516	14494.99904
517	14429.17945
518	14346.03528
519	14323.47446
520	14303.05519
521	14220.99453
522	14200.88467
523	14098.56605
524	14039.46243
525	13962.5671
526	13935.82491
527	13909.53371
528	13830.79187
529	13732.65151
530	13652.03842
531	13633.07484
532	13537.43247
533	13512.52113
534	13437.15017
535	13355.75615
536	13298.01461
537	13221.83028
538	13203.79235
539	13106.52489
540	13015.55071
541	12959.88541
542	12936.41785
543	12865.48315
544	12804.09971
545	12781.24794
546	12688.29248
547	12600.97762
548	12515.45019
549	12460.20354
550	12387.06387
551	12319.05435
552	12302.82604
553	12236.00675
554	12153.83815
555	12138.09928
556	12085.05542
557	12015.19307
558	11960.33218
559	11939.67822
560	11876.40338
561	11861.33414
562	11785.19727
563	11765.22838
564	11716.18475
565	11647.76102
566	11633.07556
567	11556.35093
568	11495.63409
569	11481.39098
570	11421.01761
571	11345.24918
572	11265.01938
573	11191.76989
574	11143.13948
575	11095.60944
576	11049.09712
577	11000.82832
578	10950.33231
579	10874.52238
580	10800.69629
581	10745.37654
582	10731.29302
583	10683.43462
584	10640.35387
585	10604.386
586	10559.52315
587	10513.78467
588	10466.57818
589	10453.06127
590	10400.81735
591	10383.85489
592	10315.24273
593	10249.67773
594	10216.66586
595	10166.85663
596	10153.95444
597	10107.26725
598	10047.61176
599	10009.31246
600	9978.238832
601	9938.698174
602	9908.475482
603	9878.804994
604	9833.822295
605	9821.611631
606	9809.553899
607	9746.568984
608	9734.69275
609	9722.965539
610	9663.131922
611	9627.691009
612	9616.262901
613	9555.215745
614	9543.960172
615	9529.455086
616	9474.705335
617	9417.566264
618	9381.880193
619	9348.903679
620	9338.375989
621	9327.728743
622	9317.456938
623	9307.06329
624	9273.886859
625	9224.59757
626	9192.298965
627	9134.00839
628	9093.508195
629	9080.389886
630	9032.432901
631	9007.840772
632	8995.084647
633	8964.376257
634	8951.949664
635	8901.537947
636	8889.287541
637	8877.249988
638	8827.779489
639	8818.389993
640	8762.613588
641	8732.910213
642	8721.347183
643	8677.017302
644	8637.683778
645	8589.766823
646	8578.355651
647	8567.09984
648	8515.934547
649	8507.221713
650	8499.361918
651	8449.588827
652	8441.85927
653	8383.842036
654	8344.213671
655	8333.299692
656	8287.099273
657	8276.338825
658	8237.719727
659	8227.184952
660	8180.882297
661	8164.206709
662	8147.945539
663	8132.086477
664	8124.772142
665	8109.347125
666	8102.169665
667	8051.694398
668	8033.143562
669	8026.137784
670	7979.241215
671	7931.047688
672	7914.304926
673	7865.584574
674	7858.820733
675	7812.027678
676	7804.605305
677	7758.668801
678	7714.333547
679	7707.577657
680	7700.912533
681	7661.610607
682	7644.324765
683	7637.816806
684	7594.676438
685	7577.937714
686	7562.34851
687	7546.091552
688	7531.942218
689	7517.980863
690	7481.749616
691	7459.210833
692	7437.133928
693	7395.257241
694	7381.14552
695	7358.380087
696	7315.246893
697	7302.188536
698	7258.49274
699	7230.791051
700	7209.87828
701	7197.245691
702	7182.056558
703	7156.689534
704	7114.509303
705	7089.648101
706	7048.275843
707	7006.34737
708	6977.456724
709	6936.490418
710	6896.320756
711	6856.166429
712	6832.584665
713	6809.528569
714	6770.148213
715	6747.544058
716	6708.279422
717	6669.690839
718	6631.348084
719	6609.469919
720	6583.572006
721	6546.019033
722	6507.332002
723	6464.354559
724	6426.621365
725	6405.707106
726	6365.332506
727	6344.859788
728	6305.334323
729	6281.237973
730	6251.762048
731	6231.967491
732	6206.598877
733	6177.698982
734	6158.289578
735	6138.74151
736	6119.597916
737	6100.519678
738	6066.43994
739	6047.774625
740	6028.801986
741	6010.391786
742	5982.712691
743	5966.554507
744	5948.512712
745	5913.894451
746	5894.177443
747	5874.98858
748	5866.344885
749	5848.755727
750	5829.611648
751	5796.077291
752	5777.522769
753	5759.406507
754	5724.850806
755	5714.723697
756	5704.24093
757	5694.4852
758	5690.03355
759	5657.608304
760	5630.012416
761	5625.634731
762	5593.81411
763	5566.936308
764	5562.631448
765	5531.401654
766	5505.221202
767	5476.747275
768	5457.834669
769	5427.403893
770	5402.319535
771	5398.229789
772	5381.475955
773	5377.476002
774	5347.678682
775	5343.655139
776	5318.832695
777	5291.365456
778	5274.083651
779	5250.257094
780	5234.154655
781	5210.891855
782	5194.961011
783	5176.889935
784	5150.220618
785	5127.531096
786	5101.323757
787	5086.002204
788	5063.92194
789	5048.566219
790	5033.204068
791	5011.589285
792	4996.816115
793	4975.71182
794	4948.6207
795	4933.811057
796	4913.181209
797	4888.060724
798	4872.243629
799	4857.447949
800	4837.30696
801	4811.127084
802	4791.417693
803	4776.089425
804	4741.727842
805	4722.538165
806	4705.995335
807	4680.732742
808	4661.920556
809	4638.178343
810	4623.54378
811	4605.218358
812	4572.336192
813	4554.486415
814	4538.5609
815	4514.320953
816	4496.823712
817	4484.304224
818	4467.217826
819	4453.341104
820	4429.682559
821	4412.970635
822	4393.413233
823	4379.988997
824	4363.19005
825	4341.922204
826	4329.135908
827	4310.125661
828	4295.148062
829	4282.723692
830	4264.084523
831	4246.091856
832	4233.594283
833	4213.162561
834	4210.22374
835	4198.383693
836	4195.510416
837	4192.681061
838	4180.647778
839	4162.664519
840	4142.993211
841	4134.07654
842	4131.344317
843	4110.327117
844	4107.635629
845	4104.985191
846	4086.01686
847	4065.614114
848	4063.032682
849	4060.490629
850	4057.987321
851	4038.073048
852	4035.606759
853	4033.178
854	4030.786171
855	4011.348269
856	4008.991682
857	3990.974268
858	3976.051651
859	3970.926992
860	3956.289455
861	3951.288264
862	3934.877444
863	3920.584577
864	3906.554286
865	3901.71922
866	3887.95505
867	3872.119076
868	3858.669026
869	3841.961132
870	3825.618215
871	3809.63287
872	3793.99781
873	3778.705868
874	3765.23209
875	3754.977883
876	3740.338861
877	3730.380988
878	3716.389709
879	3702.167842
880	3677.929005
881	3664.050208
882	3640.169186
883	3616.612519
884	3604.588754
885	3585.922083
886	3567.634273
887	3557.574123
888	3536.270721
889	3528.785241
890	3517.293949
891	3496.347666
892	3489.062276
893	3471.151487
894	3460.073253
895	3437.964552
896	3430.904386
897	3413.969637
898	3395.285101
899	3377.149173
900	3366.434
901	3359.619227
902	3343.659601
903	3326.935565
904	3320.313553
905	3313.822053
906	3300.059212
907	3283.799823
908	3269.213231
909	3255.76631
910	3248.515153
911	3246.442943
912	3231.29912
913	3225.113761
914	3219.048207
915	3200.549432
916	3186.556357
917	3168.453546
918	3150.739228
919	3132.674391
920	3126.959327
921	3117.406837
922	3111.843035
923	3097.130513
924	3087.877545
925	3079.120048
926	3072.105173
927	3061.649468
928	3045.294168
929	3036.869381
930	3031.388167
931	3017.299285
932	3010.416149
933	2997.332492
934	2984.498171
935	2970.223332
936	2958.424811
937	2944.969241
938	2938.216167
939	2922.216864
940	2903.228797
941	2895.253467
942	2885.323188
943	2877.536772
944	2868.288155
945	2849.872654
946	2839.362723
947	2831.857635
948	2826.492485
949	2814.514361
950	2797.72752
951	2790.432394
952	2781.736815
953	2766.701308
954	2756.423472
955	2749.154254
956	2739.046791
957	2727.637419
958	2717.769297
959	2710.650063
960	2699.536815
961	2689.896736
962	2681.653832
963	2670.830599
964	2657.988894
965	2648.596111
966	2638.064582
967	2625.526344
968	2616.966333
969	2608.082303
970	2595.885204
971	2586.542959
972	2574.628233
973	2566.315401
974	2556.187753
975	2547.051489
976	2535.338937
977	2525.453897
978	2516.554764
979	2507.761021
980	2496.378527
981	2488.485896
982	2479.818279
983	2473.256186
984	2461.690547
985	2455.26797
986	2447.99734
987	2442.080949
988	2433.295676
989	2426.229883
990	2417.637108
991	2410.711172
992	2402.306533
993	2394.229014
994	2387.228115
995	2378.998161
996	2369.081768
997	2365.100484
998	2351.657873
999	2347.071498
